"filename", "language", "JSON", "TypeScript", "SCSS", "Markdown", "JavaScript", "HTML", "CSS", "XML", "YAML", "comment", "blank", "total"
"d:\370\FinalFrontend\final\README.md", "Markdown", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 14, 28
"d:\370\FinalFrontend\final\angular.json", "JSON", 133, 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 156
"d:\370\FinalFrontend\final\buildspec.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 24, 2, 1, 27
"d:\370\FinalFrontend\final\dist\10-es2015.9918140be9a68d9fdd80.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"d:\370\FinalFrontend\final\dist\10-es5.9918140be9a68d9fdd80.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"d:\370\FinalFrontend\final\dist\11-es2015.e56c48e5aace6eaba13c.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"d:\370\FinalFrontend\final\dist\11-es5.e56c48e5aace6eaba13c.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"d:\370\FinalFrontend\final\dist\12-es2015.4181614babe118348a35.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"d:\370\FinalFrontend\final\dist\12-es5.4181614babe118348a35.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"d:\370\FinalFrontend\final\dist\13-es2015.47e9b609f89fd0b935e9.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"d:\370\FinalFrontend\final\dist\13-es5.47e9b609f89fd0b935e9.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"d:\370\FinalFrontend\final\dist\14-es2015.964823bce04fefcf922b.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"d:\370\FinalFrontend\final\dist\14-es5.964823bce04fefcf922b.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"d:\370\FinalFrontend\final\dist\15-es2015.f5ea09c96ec06cb0ec08.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"d:\370\FinalFrontend\final\dist\15-es5.f5ea09c96ec06cb0ec08.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"d:\370\FinalFrontend\final\dist\16-es2015.5228aaf28d4261e496c8.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"d:\370\FinalFrontend\final\dist\16-es5.5228aaf28d4261e496c8.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"d:\370\FinalFrontend\final\dist\17-es2015.4056d029d53f4f22c61b.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"d:\370\FinalFrontend\final\dist\17-es5.4056d029d53f4f22c61b.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"d:\370\FinalFrontend\final\dist\18-es2015.2c1513d138bf5e720385.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"d:\370\FinalFrontend\final\dist\18-es5.2c1513d138bf5e720385.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"d:\370\FinalFrontend\final\dist\19-es2015.3fc89b4d5dcd6fdba870.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"d:\370\FinalFrontend\final\dist\19-es5.3fc89b4d5dcd6fdba870.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"d:\370\FinalFrontend\final\dist\20-es2015.08afd0316c761385a743.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"d:\370\FinalFrontend\final\dist\20-es5.08afd0316c761385a743.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"d:\370\FinalFrontend\final\dist\6-es2015.2e64c3c62edacd277788.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"d:\370\FinalFrontend\final\dist\6-es5.2e64c3c62edacd277788.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"d:\370\FinalFrontend\final\dist\7-es2015.23e4facdeede8f22727c.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"d:\370\FinalFrontend\final\dist\7-es5.23e4facdeede8f22727c.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"d:\370\FinalFrontend\final\dist\8-es2015.fc2c91f0fe4f94ea981d.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"d:\370\FinalFrontend\final\dist\8-es5.fc2c91f0fe4f94ea981d.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"d:\370\FinalFrontend\final\dist\9-es2015.4959458d95e02d698cb4.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"d:\370\FinalFrontend\final\dist\9-es5.4959458d95e02d698cb4.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"d:\370\FinalFrontend\final\dist\assets\data\company.json", "JSON", 505, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 506
"d:\370\FinalFrontend\final\dist\assets\img\flags\de.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 1, 6
"d:\370\FinalFrontend\final\dist\assets\img\flags\fr.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 1, 8
"d:\370\FinalFrontend\final\dist\assets\img\flags\gb.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 1, 16
"d:\370\FinalFrontend\final\dist\assets\img\flags\ru.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 1, 8
"d:\370\FinalFrontend\final\dist\assets\img\flags\tr.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 1, 9
"d:\370\FinalFrontend\final\dist\common-es2015.626c1efe8129cf01cfda.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"d:\370\FinalFrontend\final\dist\common-es5.626c1efe8129cf01cfda.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"d:\370\FinalFrontend\final\dist\data-table.3b0234636efe7d0e78de.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 2, 27
"d:\370\FinalFrontend\final\dist\index.html", "HTML", 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 16
"d:\370\FinalFrontend\final\dist\main-es2015.efb4cf16793aa218d5f1.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"d:\370\FinalFrontend\final\dist\main-es5.efb4cf16793aa218d5f1.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"d:\370\FinalFrontend\final\dist\polyfills-es2015.cde7ecbf5612ec5b9883.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"d:\370\FinalFrontend\final\dist\polyfills-es5.e0ba72b783138a676cd2.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"d:\370\FinalFrontend\final\dist\runtime-es2015.5910d380dea7b5b2a72a.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"d:\370\FinalFrontend\final\dist\runtime-es5.5910d380dea7b5b2a72a.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"d:\370\FinalFrontend\final\dist\scripts.e77ee0a5d905ce459672.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"d:\370\FinalFrontend\final\dist\styles.c866c20e4f95df7ac317.css", "CSS", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 3
"d:\370\FinalFrontend\final\e2e\protractor.conf.js", "JavaScript", 0, 0, 0, 0, 24, 0, 0, 0, 0, 6, 2, 32
"d:\370\FinalFrontend\final\e2e\src\app.e2e-spec.ts", "TypeScript", 0, 18, 0, 0, 0, 0, 0, 0, 0, 1, 5, 24
"d:\370\FinalFrontend\final\e2e\src\app.po.ts", "TypeScript", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12
"d:\370\FinalFrontend\final\e2e\tsconfig.e2e.json", "JSON", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13
"d:\370\FinalFrontend\final\e2e\tsconfig.json", "JSON", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14
"d:\370\FinalFrontend\final\karma.conf.js", "JavaScript", 0, 0, 0, 0, 29, 0, 0, 0, 0, 2, 2, 33
"d:\370\FinalFrontend\final\package-lock.json", "JSON", 15823, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15824
"d:\370\FinalFrontend\final\package.json", "JSON", 79, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 80
"d:\370\FinalFrontend\final\src\README.md", "Markdown", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 14, 28
"d:\370\FinalFrontend\final\src\angular.json", "JSON", 130, 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 150
"d:\370\FinalFrontend\final\src\app\Models\Day_Of_Week.ts", "TypeScript", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"d:\370\FinalFrontend\final\src\app\Models\Farm.ts", "TypeScript", 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 2, 38
"d:\370\FinalFrontend\final\src\app\Models\FarmTypes.ts", "TypeScript", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"d:\370\FinalFrontend\final\src\app\Models\Fault.ts", "TypeScript", 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 2, 31
"d:\370\FinalFrontend\final\src\app\Models\FaultType.ts", "TypeScript", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"d:\370\FinalFrontend\final\src\app\Models\Importance.ts", "TypeScript", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"d:\370\FinalFrontend\final\src\app\Models\Infrastructures.ts", "TypeScript", 0, 19, 0, 0, 0, 0, 0, 0, 0, 1, 2, 22
"d:\370\FinalFrontend\final\src\app\Models\InsuranceProviders.ts", "TypeScript", 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 1, 17
"d:\370\FinalFrontend\final\src\app\Models\Maintenance.ts", "TypeScript", 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 2, 31
"d:\370\FinalFrontend\final\src\app\Models\MaintenanceType.ts", "TypeScript", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"d:\370\FinalFrontend\final\src\app\Models\Provinces.ts", "TypeScript", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"d:\370\FinalFrontend\final\src\app\Models\RepairLogs.ts", "TypeScript", 0, 31, 0, 0, 0, 0, 0, 0, 0, 1, 2, 34
"d:\370\FinalFrontend\final\src\app\Models\RepairRequests.ts", "TypeScript", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"d:\370\FinalFrontend\final\src\app\Models\SRProvider.ts", "TypeScript", 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 2, 21
"d:\370\FinalFrontend\final\src\app\Models\ScheduledTasks.ts", "TypeScript", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 1, 21
"d:\370\FinalFrontend\final\src\app\Models\Section.ts", "TypeScript", 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 2, 21
"d:\370\FinalFrontend\final\src\app\Models\SectionType.ts", "TypeScript", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13
"d:\370\FinalFrontend\final\src\app\Models\Skill.ts", "TypeScript", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12
"d:\370\FinalFrontend\final\src\app\Models\Staff.ts", "TypeScript", 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 6, 39
"d:\370\FinalFrontend\final\src\app\Models\StaffSchedules.ts", "TypeScript", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"d:\370\FinalFrontend\final\src\app\Models\Status.ts", "TypeScript", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"d:\370\FinalFrontend\final\src\app\Models\Task.ts", "TypeScript", 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 5, 42
"d:\370\FinalFrontend\final\src\app\Models\Task_Type.ts", "TypeScript", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"d:\370\FinalFrontend\final\src\app\Models\User.ts", "TypeScript", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6
"d:\370\FinalFrontend\final\src\app\Models\VehicleService.ts", "TypeScript", 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 3, 40
"d:\370\FinalFrontend\final\src\app\Models\Vehicles.ts", "TypeScript", 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 4, 35
"d:\370\FinalFrontend\final\src\app\Models\eqType.ts", "TypeScript", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5
"d:\370\FinalFrontend\final\src\app\Models\equipment.ts", "TypeScript", 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 4, 30
"d:\370\FinalFrontend\final\src\app\Models\infType.ts", "TypeScript", 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 0, 5
"d:\370\FinalFrontend\final\src\app\Models\register.ts", "TypeScript", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12
"d:\370\FinalFrontend\final\src\app\Models\veTypes.ts", "TypeScript", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"d:\370\FinalFrontend\final\src\app\about\about.component.html", "HTML", 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 4, 22
"d:\370\FinalFrontend\final\src\app\about\about.component.scss", "SCSS", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\370\FinalFrontend\final\src\app\about\about.component.ts", "TypeScript", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 5, 16
"d:\370\FinalFrontend\final\src\app\active-list\active-list.component.html", "HTML", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 1, 6
"d:\370\FinalFrontend\final\src\app\active-list\active-list.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\370\FinalFrontend\final\src\app\active-list\active-list.component.ts", "TypeScript", 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 12, 31
"d:\370\FinalFrontend\final\src\app\app.component.html", "HTML", 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 12
"d:\370\FinalFrontend\final\src\app\app.component.scss", "SCSS", 0, 0, 66, 0, 0, 0, 0, 0, 0, 0, 3, 69
"d:\370\FinalFrontend\final\src\app\app.component.ts", "TypeScript", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 2, 17
"d:\370\FinalFrontend\final\src\app\app.module.ts", "TypeScript", 0, 190, 0, 0, 0, 0, 0, 0, 0, 1, 17, 208
"d:\370\FinalFrontend\final\src\app\app.routing.ts", "TypeScript", 0, 100, 0, 0, 0, 0, 0, 0, 0, 1, 11, 112
"d:\370\FinalFrontend\final\src\app\app.settings.model.ts", "TypeScript", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13
"d:\370\FinalFrontend\final\src\app\app.settings.ts", "TypeScript", 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 3, 21
"d:\370\FinalFrontend\final\src\app\audit-log\audit-log.component.html", "HTML", 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 3, 23
"d:\370\FinalFrontend\final\src\app\audit-log\audit-log.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\370\FinalFrontend\final\src\app\audit-log\audit-log.component.ts", "TypeScript", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 6, 19
"d:\370\FinalFrontend\final\src\app\email-sent\email-sent.component.html", "HTML", 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 1, 3
"d:\370\FinalFrontend\final\src\app\email-sent\email-sent.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\370\FinalFrontend\final\src\app\email-sent\email-sent.component.ts", "TypeScript", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 5, 16
"d:\370\FinalFrontend\final\src\app\equipment-types\equipment-types.component.html", "HTML", 0, 0, 0, 0, 0, 63, 0, 0, 0, 0, 18, 81
"d:\370\FinalFrontend\final\src\app\equipment-types\equipment-types.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\370\FinalFrontend\final\src\app\equipment-types\equipment-types.component.ts", "TypeScript", 0, 170, 0, 0, 0, 0, 0, 0, 0, 10, 33, 213
"d:\370\FinalFrontend\final\src\app\equipment-types\equipmenttypeservice.ts", "TypeScript", 0, 46, 0, 0, 0, 0, 0, 0, 0, 4, 10, 60
"d:\370\FinalFrontend\final\src\app\equipment\equipment.component.html", "HTML", 0, 0, 0, 0, 0, 210, 0, 0, 0, 0, 44, 254
"d:\370\FinalFrontend\final\src\app\equipment\equipment.component.scss", "SCSS", 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 5, 31
"d:\370\FinalFrontend\final\src\app\equipment\equipment.component.ts", "TypeScript", 0, 266, 0, 0, 0, 0, 0, 0, 0, 16, 83, 365
"d:\370\FinalFrontend\final\src\app\equipment\equipmentservice.ts", "TypeScript", 0, 79, 0, 0, 0, 0, 0, 0, 0, 7, 30, 116
"d:\370\FinalFrontend\final\src\app\farm-health\farm-health.component.html", "HTML", 0, 0, 0, 0, 0, 86, 0, 0, 0, 0, 6, 92
"d:\370\FinalFrontend\final\src\app\farm-health\farm-health.component.scss", "SCSS", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 3
"d:\370\FinalFrontend\final\src\app\farm-health\farm-health.component.ts", "TypeScript", 0, 159, 0, 0, 0, 0, 0, 0, 0, 0, 12, 171
"d:\370\FinalFrontend\final\src\app\farm-health\farmhealthservice.ts", "TypeScript", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"d:\370\FinalFrontend\final\src\app\farm\farm.component.html", "HTML", 0, 0, 0, 0, 0, 284, 0, 0, 0, 18, 24, 326
"d:\370\FinalFrontend\final\src\app\farm\farm.component.scss", "SCSS", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 9
"d:\370\FinalFrontend\final\src\app\farm\farm.component.ts", "TypeScript", 0, 319, 0, 0, 0, 0, 0, 0, 0, 7, 50, 376
"d:\370\FinalFrontend\final\src\app\farm\farmService.service.ts", "TypeScript", 0, 87, 0, 0, 0, 0, 0, 0, 0, 1, 24, 112
"d:\370\FinalFrontend\final\src\app\fault-log\fault-log.component.html", "HTML", 0, 0, 0, 0, 0, 286, 0, 0, 0, 0, 43, 329
"d:\370\FinalFrontend\final\src\app\fault-log\fault-log.component.scss", "SCSS", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 3, 20
"d:\370\FinalFrontend\final\src\app\fault-log\fault-log.component.ts", "TypeScript", 0, 159, 0, 0, 0, 0, 0, 0, 0, 12, 29, 200
"d:\370\FinalFrontend\final\src\app\fault-log\fault-service.service.ts", "TypeScript", 0, 51, 0, 0, 0, 0, 0, 0, 0, 16, 20, 87
"d:\370\FinalFrontend\final\src\app\faultreport\faultreport.component.html", "HTML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 2
"d:\370\FinalFrontend\final\src\app\faultreport\faultreport.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\370\FinalFrontend\final\src\app\faultreport\faultreport.component.ts", "TypeScript", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 5, 16
"d:\370\FinalFrontend\final\src\app\fm-main\fm-main.component.html", "HTML", 0, 0, 0, 0, 0, 6, 0, 0, 0, 7, 2, 15
"d:\370\FinalFrontend\final\src\app\fm-main\fm-main.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\370\FinalFrontend\final\src\app\fm-main\fm-main.component.ts", "TypeScript", 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 11, 28
"d:\370\FinalFrontend\final\src\app\home\home.component.html", "HTML", 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 6, 12
"d:\370\FinalFrontend\final\src\app\home\home.component.scss", "SCSS", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"d:\370\FinalFrontend\final\src\app\home\home.component.ts", "TypeScript", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 5, 16
"d:\370\FinalFrontend\final\src\app\infrastructure\infrastructure.component.html", "HTML", 0, 0, 0, 0, 0, 190, 0, 0, 0, 6, 19, 215
"d:\370\FinalFrontend\final\src\app\infrastructure\infrastructure.component.scss", "SCSS", 0, 0, 57, 0, 0, 0, 0, 0, 0, 11, 13, 81
"d:\370\FinalFrontend\final\src\app\infrastructure\infrastructure.component.ts", "TypeScript", 0, 184, 0, 0, 0, 0, 0, 0, 0, 17, 63, 264
"d:\370\FinalFrontend\final\src\app\infrastructure\infrastructure.service.ts", "TypeScript", 0, 69, 0, 0, 0, 0, 0, 0, 0, 7, 28, 104
"d:\370\FinalFrontend\final\src\app\insurnace-provider\insuranceService.service.ts", "TypeScript", 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 9, 61
"d:\370\FinalFrontend\final\src\app\insurnace-provider\insurnace-provider.component.html", "HTML", 0, 0, 0, 0, 0, 135, 0, 0, 0, 1, 14, 150
"d:\370\FinalFrontend\final\src\app\insurnace-provider\insurnace-provider.component.scss", "SCSS", 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 5, 31
"d:\370\FinalFrontend\final\src\app\insurnace-provider\insurnace-provider.component.ts", "TypeScript", 0, 139, 0, 0, 0, 0, 0, 0, 0, 7, 17, 163
"d:\370\FinalFrontend\final\src\app\logout\logout.component.html", "HTML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 2
"d:\370\FinalFrontend\final\src\app\logout\logout.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\370\FinalFrontend\final\src\app\logout\logout.component.ts", "TypeScript", 0, 14, 0, 0, 0, 0, 0, 0, 0, 1, 5, 20
"d:\370\FinalFrontend\final\src\app\maintenance-log\maintenance-log.component.html", "HTML", 0, 0, 0, 0, 0, 286, 0, 0, 0, 0, 43, 329
"d:\370\FinalFrontend\final\src\app\maintenance-log\maintenance-log.component.scss", "SCSS", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 3, 20
"d:\370\FinalFrontend\final\src\app\maintenance-log\maintenance-log.component.ts", "TypeScript", 0, 155, 0, 0, 0, 0, 0, 0, 0, 11, 27, 193
"d:\370\FinalFrontend\final\src\app\maintenance-log\maintenance-service.service.ts", "TypeScript", 0, 51, 0, 0, 0, 0, 0, 0, 0, 16, 19, 86
"d:\370\FinalFrontend\final\src\app\maintenance-report\maintenance-report.component.html", "HTML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 2
