"filename", "language", "JSON", "SCSS", "TypeScript", "JavaScript", "HTML", "Markdown", "comment", "blank", "total"
"c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\README.md", "Markdown", 0, 0, 0, 0, 0, 14, 0, 14, 28
"c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\angular.json", "JSON", 115, 0, 0, 0, 0, 0, 21, 0, 136
"c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\e2e\protractor.conf.js", "JavaScript", 0, 0, 0, 24, 0, 0, 6, 2, 32
"c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\e2e\src\app.e2e-spec.ts", "TypeScript", 0, 0, 18, 0, 0, 0, 1, 5, 24
"c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\e2e\src\app.po.ts", "TypeScript", 0, 0, 9, 0, 0, 0, 0, 3, 12
"c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\e2e\tsconfig.json", "JSON", 13, 0, 0, 0, 0, 0, 0, 1, 14
"c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\karma.conf.js", "JavaScript", 0, 0, 0, 29, 0, 0, 2, 2, 33
"c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\package-lock.json", "JSON", 23516, 0, 0, 0, 0, 0, 0, 1, 23517
"c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\package.json", "JSON", 111, 0, 0, 0, 0, 0, 0, 1, 112
"c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\Dialogs\ConfirmDialog\confirm-dialog.component.html", "HTML", 0, 0, 0, 0, 10, 0, 0, 0, 10
"c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\Dialogs\ConfirmDialog\confirm-dialog.component.ts", "TypeScript", 0, 0, 37, 0, 0, 0, 0, 1, 38
"c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\Dialogs\ConfirmDialog\confirm-dialog.module.ts", "TypeScript", 0, 0, 21, 0, 0, 0, 0, 1, 22
"c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\Dialogs\ConfirmDialog\confirm-dialog.service.ts", "TypeScript", 0, 0, 26, 0, 0, 0, 0, 2, 28
"c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\Dialogs\SuccessDialog\success-dialog.component.html", "HTML", 0, 0, 0, 0, 9, 0, 1, 0, 10
"c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\Dialogs\SuccessDialog\success-dialog.component.ts", "TypeScript", 0, 0, 40, 0, 0, 0, 0, 1, 41
"c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\Dialogs\SuccessDialog\success-dialog.module.ts", "TypeScript", 0, 0, 21, 0, 0, 0, 0, 1, 22
"c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\Dialogs\SuccessDialog\success-dialog.service.ts", "TypeScript", 0, 0, 26, 0, 0, 0, 0, 4, 30
"c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\Models\Farm.ts", "TypeScript", 0, 0, 16, 0, 0, 0, 0, 1, 17
"c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\Models\FarmTypes.ts", "TypeScript", 0, 0, 4, 0, 0, 0, 0, 1, 5
"c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\Models\InsuranceProviders.ts", "TypeScript", 0, 0, 19, 0, 0, 0, 0, 2, 21
"c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\Models\Provinces.ts", "TypeScript", 0, 0, 4, 0, 0, 0, 0, 1, 5
"c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\Models\register.ts", "TypeScript", 0, 0, 10, 0, 0, 0, 0, 1, 11
"c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\app-routing.module.ts", "TypeScript", 0, 0, 18, 0, 0, 0, 0, 4, 22
"c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\app.component.html", "HTML", 0, 0, 0, 0, 45, 0, 0, 3, 48
"c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\app.component.scss", "SCSS", 0, 35, 0, 0, 0, 0, 0, 5, 40
"c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\app.component.spec.ts", "TypeScript", 0, 0, 31, 0, 0, 0, 0, 5, 36
"c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\app.component.ts", "TypeScript", 0, 0, 9, 0, 0, 0, 0, 2, 11
"c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\app.module.ts", "TypeScript", 0, 0, 94, 0, 0, 0, 0, 3, 97
"c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\app.settings.model.ts", "TypeScript", 0, 0, 13, 0, 0, 0, 0, 0, 13
"c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\app.settings.ts", "TypeScript", 0, 0, 18, 0, 0, 0, 0, 3, 21
"c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\farm\farm.component.html", "HTML", 0, 0, 0, 0, 53, 0, 0, 1, 54
"c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\farm\farm.component.scss", "SCSS", 0, 26, 0, 0, 0, 0, 0, 5, 31
