Date : 2020-09-08 16:50:16
Directory : c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master
Total : 145 files,  28544 codes, 204 comments, 528 blanks, all 29276 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| JSON       |          9 |     23,921 |         21 |          7 |     23,949 |
| TypeScript |         80 |      2,613 |        135 |        368 |      3,116 |
| SCSS       |         30 |      1,280 |         12 |        100 |      1,392 |
| HTML       |         22 |        616 |         28 |         33 |        677 |
| JavaScript |          3 |        100 |          8 |          6 |        114 |
| Markdown   |          1 |         14 |          0 |         14 |         28 |
+------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                    | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                       |        145 |     28,544 |        204 |        528 |     29,276 |
| e2e                                                                                                                                                     |          4 |         64 |          7 |         11 |         82 |
| e2e\src                                                                                                                                                 |          2 |         27 |          1 |          8 |         36 |
| src                                                                                                                                                     |        132 |      4,541 |        174 |        496 |      5,211 |
| src\app                                                                                                                                                 |        122 |      4,369 |        104 |        454 |      4,927 |
| src\app\Dialogs                                                                                                                                         |          8 |        190 |          1 |         10 |        201 |
| src\app\Dialogs\ConfirmDialog                                                                                                                           |          4 |         94 |          0 |          4 |         98 |
| src\app\Dialogs\SuccessDialog                                                                                                                           |          4 |         96 |          1 |          6 |        103 |
| src\app\Models                                                                                                                                          |          5 |         53 |          0 |          6 |         59 |
| src\app\farm                                                                                                                                            |          6 |        319 |          1 |         55 |        375 |
| src\app\insurance-provider                                                                                                                              |          5 |        183 |          2 |         28 |        213 |
| src\app\login                                                                                                                                           |          5 |        143 |          2 |         27 |        172 |
| src\app\logout                                                                                                                                          |          4 |         40 |          1 |         15 |         56 |
| src\app\profile                                                                                                                                         |          5 |        191 |         38 |         35 |        264 |
| src\app\register                                                                                                                                        |          5 |        185 |         37 |         34 |        256 |
| src\app\shared                                                                                                                                          |         17 |        488 |          3 |         22 |        513 |
| src\app\shared\Dialogs                                                                                                                                  |         16 |        382 |          3 |         20 |        405 |
| src\app\shared\Dialogs\ConfirmDialog                                                                                                                    |          4 |        100 |          0 |          6 |        106 |
| src\app\shared\Dialogs\DuplicateDialog                                                                                                                  |          4 |         93 |          1 |          4 |         98 |
| src\app\shared\Dialogs\ErrorDialog                                                                                                                      |          4 |         93 |          1 |          4 |         98 |
| src\app\shared\Dialogs\SuccessDialog                                                                                                                    |          4 |         96 |          1 |          6 |        103 |
| src\app\theme                                                                                                                                           |         53 |      2,228 |         19 |        183 |      2,430 |
| src\app\theme\components                                                                                                                                |         28 |      1,097 |          7 |        100 |      1,204 |
| src\app\theme\components\applications                                                                                                                   |          3 |        103 |          0 |          4 |        107 |
| src\app\theme\components\breadcrumb                                                                                                                     |          3 |        102 |          0 |         10 |        112 |
| src\app\theme\components\flags-menu                                                                                                                     |          3 |         54 |          3 |          5 |         62 |
| src\app\theme\components\menu                                                                                                                           |          9 |        406 |          0 |         44 |        450 |
| src\app\theme\components\menu\horizontal-menu                                                                                                           |          3 |        103 |          0 |         13 |        116 |
| src\app\theme\components\menu\vertical-menu                                                                                                             |          3 |        119 |          0 |         11 |        130 |
| src\app\theme\components\messages                                                                                                                       |          4 |        278 |          2 |         15 |        295 |
| src\app\theme\components\sidenav                                                                                                                        |          3 |         96 |          0 |         15 |        111 |
| src\app\theme\components\user-menu                                                                                                                      |          3 |         58 |          2 |          7 |         67 |
| src\app\theme\directives                                                                                                                                |          2 |         37 |          0 |          9 |         46 |
| src\app\theme\directives\detect-scroll                                                                                                                  |          1 |         22 |          0 |          7 |         29 |
| src\app\theme\pipes                                                                                                                                     |          7 |        115 |          0 |         15 |        130 |
| src\app\theme\pipes\pagination                                                                                                                          |          1 |         19 |          0 |          3 |         22 |
| src\app\theme\pipes\profilePicture                                                                                                                      |          1 |          7 |          0 |          2 |          9 |
| src\app\theme\pipes\search                                                                                                                              |          3 |         49 |          0 |          6 |         55 |
| src\app\theme\pipes\truncate                                                                                                                            |          1 |         10 |          0 |          1 |         11 |
| src\app\theme\styles                                                                                                                                    |         13 |        903 |         12 |         54 |        969 |
| src\app\theme\styles\skins                                                                                                                              |          6 |         24 |          0 |          6 |         30 |
| src\app\theme\utils                                                                                                                                     |          3 |         76 |          0 |          5 |         81 |
| src\assets                                                                                                                                              |          1 |         12 |          0 |          1 |         13 |
| src\assets\i18n                                                                                                                                         |          1 |         12 |          0 |          1 |         13 |
| src\environments                                                                                                                                        |          2 |          6 |         11 |          4 |         21 |
+---------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                                                                | language   | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\README.md                                                                    | Markdown   |         14 |          0 |         14 |         28 |
| c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\angular.json                                                                 | JSON       |        115 |         21 |          0 |        136 |
| c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\e2e\protractor.conf.js                                                       | JavaScript |         24 |          6 |          2 |         32 |
